"species","kingdom","phylum","class","order","family","genus","taxa_id","taxa_db","alt.scinames","GBD.Macro","GBD.Sub","Country.ISO3","FishBase.SAU.Code","ISSCAAP","FAO.Taxon.Code","FAO.3A_CODE","Original.FCT.Food.Code","Food.name.in.English","Food.Name.in.Original.Language","Processing","Preparation","Wild.Farmed","Parts","Component.name","variable","value"
"Heterosiphonia",NA,NA,NA,NA,NA,"Heterosiphonia",NA,NA,NA,NA,NA,"CHL",NA,NA,NA,NA,NA,NA,NA,NA,"dried","wild","whole",NA,"Iron",3810.4
"Padina pavonia","Chromista",NA,"Phaeophyceae","Dictyotales","Dictyotaceae","Padina",11185,"itis",NA,NA,NA,"SYR",NA,NA,NA,NA,NA,NA,NA,NA,"baked","unknown","unknown",NA,"Iron",2272.5
"Lethrinus harak","Metazoa","Chordata","Actinopteri","Spariformes","Lethrinidae","Lethrinus",182654,"ncbi",NA,NA,NA,"TZA",NA,NA,NA,NA,NA,NA,NA,NA,"frozen","wild","liver",NA,"Iron",2029.257
"Padina pavonia","Chromista",NA,"Phaeophyceae","Dictyotales","Dictyotaceae","Padina",11185,"itis",NA,NA,NA,"SYR",NA,NA,NA,NA,NA,NA,NA,NA,"baked","unknown","unknown",NA,"Iron",1935.9
"Colpomenia sinuosa",NA,NA,"Phaeophyceae","Ectocarpales","Scytosiphonaceae","Colpomenia",87236,"ncbi",NA,NA,NA,"IRN",NA,NA,NA,NA,NA,NA,NA,NA,"frozen","wild","unknown",NA,"Iron",1581
"Ulva reticulata","Viridiplantae","Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva",133424,"ncbi",NA,NA,NA,"IND",NA,NA,NA,NA,NA,NA,NA,NA,"dried","wild","unknown",NA,"Iron",1470
"Codium bursa","Viridiplantae","Chlorophyta","Ulvophyceae","Bryopsidales","Codiaceae","Codium",414121,"ncbi",NA,NA,NA,"ITA",NA,NA,NA,NA,NA,NA,NA,NA,"freeze-dried","wild","unknown",NA,"Iron",1414.8
"Doctyota dichotoma",NA,NA,NA,NA,NA,"Doctyota",NA,NA,NA,NA,NA,"IRN",NA,NA,NA,NA,NA,NA,NA,NA,"frozen","wild","unknown",NA,"Iron",1196
"Flabellia petiolata","Viridiplantae","Chlorophyta","Ulvophyceae","Bryopsidales","Udoteaceae","Flabellia",189428,"ncbi",NA,NA,NA,"ITA",NA,NA,NA,NA,NA,NA,NA,NA,"freeze-dried","wild","unknown",NA,"Iron",1018.2
"Undaria pinnatifida",NA,NA,"Phaeophyceae","Laminariales","Alariaceae","Undaria",74381,"ncbi",NA,NA,NA,"KOR",NA,NA,NA,NA,NA,"sea mustard","Miyeok",NA,"unknown","unknown","frond",NA,"Iron",1011
"Etroplus suratensis","Metazoa","Chordata","Actinopteri","Cichliformes","Cichlidae","Etroplus",238232,"ncbi",NA,NA,NA,"IND",NA,NA,NA,NA,NA,"spearl spot",NA,NA,"raw","wild","liver",NA,"Zinc",22553
"Coregonus lavaretus","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Coregonus",59291,"ncbi",NA,NA,NA,"POL",NA,NA,NA,NA,NA,"Whitefish","Sieja, Gla<U+02DB>biel, Brzona",NA,"smoked","farmed","w",NA,"Zinc",995
"Coregonus lavaretus","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Coregonus",59291,"ncbi",NA,NA,NA,"POL",NA,NA,NA,NA,NA,"Whitefish","Sieja, Gla<U+02DB>biel, Brzona",NA,"smoked","farmed","w",NA,"Zinc",995
"Coregonus lavaretus","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Coregonus",59291,"ncbi",NA,NA,NA,"POL",NA,NA,NA,NA,NA,"Whitefish","Sieja, Gla<U+02DB>biel, Brzona",NA,"smoked","farmed","w",NA,"Zinc",995
"Coregonus lavaretus","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Coregonus",59291,"ncbi",NA,NA,NA,"POL",NA,NA,NA,NA,NA,"Whitefish","Sieja, Gla<U+02DB>biel, Brzona",NA,"smoked","farmed","w",NA,"Zinc",995
"Carassius carassius","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Carassius",217509,"ncbi",NA,NA,NA,"POL",NA,NA,NA,NA,NA,"Crucian","Kara큦",NA,"smoked","farmed","w",NA,"Zinc",988
"Carassius carassius","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Carassius",217509,"ncbi",NA,NA,NA,"POL",NA,NA,NA,NA,NA,"Crucian","Kara큦",NA,"smoked","farmed","w",NA,"Zinc",988
"Carassius carassius","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Carassius",217509,"ncbi",NA,NA,NA,"POL",NA,NA,NA,NA,NA,"Crucian","Kara큦",NA,"smoked","farmed","w",NA,"Zinc",988
"Carassius carassius","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Carassius",217509,"ncbi",NA,NA,NA,"POL",NA,NA,NA,NA,NA,"Crucian","Kara큦",NA,"smoked","farmed","w",NA,"Zinc",988
"Coregonus lavaretus","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Coregonus",59291,"ncbi",NA,NA,NA,"POL",NA,NA,NA,NA,NA,"Whitefish","Sieja, Gla<U+02DB>biel, Brzona",NA,"smoked","farmed","w",NA,"Zinc",873
"Crassostrea virginica","Metazoa","Mollusca","Bivalvia","Ostreoida","Ostreidae","Crassostrea",6565,"ncbi",NA,NA,NA,"USA",NA,NA,NA,NA,NA,"Eastern oysters",NA,NA,"baked","wild","f",NA,"Vitamin B12",30000
"Crassostrea virginica","Metazoa","Mollusca","Bivalvia","Ostreoida","Ostreidae","Crassostrea",6565,"ncbi",NA,NA,NA,"USA",NA,NA,NA,NA,NA,"Eastern oysters",NA,NA,"baked","wild","f",NA,"Vitamin B12",25600
"Crassostrea virginica","Metazoa","Mollusca","Bivalvia","Ostreoida","Ostreidae","Crassostrea",6565,"ncbi",NA,NA,NA,"USA",NA,NA,NA,NA,NA,"Eastern oysters",NA,NA,"raw","wild","f",NA,"Vitamin B12",22800
"Crassostrea virginica","Metazoa","Mollusca","Bivalvia","Ostreoida","Ostreidae","Crassostrea",6565,"ncbi",NA,NA,NA,"USA",NA,NA,NA,NA,NA,"Eastern oysters",NA,NA,"baked","farmed","f",NA,"Vitamin B12",22500
