OUTPUT,iso3c,production_system,food_type,source,Comment,Org,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
ASA_FHC_FO..INL,ASA,FHC,FO,INL,ASA_FHC_FO..INL = ASA_FH_FO*ASA_FHC_QP..INL/(ASA_FH_QP-ASA_FH_CR-ASA_FH_OU),Scalar TS,Numeric,67.67143156,77.99679376,88.09481588,82.39067183,87.87333638,88.07516848,108.4451526,114.565421,123.6882615,126.6002071,133.2464205,137.5781048,144.5441688,152.2901417,159.5666322,166.9290199,173.9605778,182.070007,195.0039343,208.1387143,221.1244499
ASA_FHC_FO..MAR,ASA,FHC,FO,MAR,"ASA_FHC_FO..MAR = ASA_FH_FO*(ASA_FHC_QP..MAR-ASA_FH_CR-ASA_FH_OU)/(ASA_FH_
QP-ASA_FH_CR-ASA_FH_OU)",Scalar TS,Numeric,1813.641758,1967.113572,1966.335293,1932.94235,2010.351271,1994.756095,1954.080678,1959.231567,1993.555982,2025.891033,2052.487969,2037.847377,2064.762957,2090.095473,2104.718008,2118.856861,2127.454628,2147.70422,2161.412441,2174.637108,2183.947053
ASC_FHA_FO..INL,ASC,FHA,FO,INL,ASC_FHA_FO..INL = ASC_FH_FO*ASC_FHA_QP..INL/(ASC_FH_QP-ASC_FH_CR-ASC_FH_OU),Scalar TS,Numeric,24.74653587,36.54139506,57.80054067,74.56968638,79.68724209,79.98201854,81.48714248,93.41358516,74.86713764,80.75438813,97.05489181,102.4972566,107.5976754,112.593298,117.9756723,123.8844844,129.7146608,135.7548039,141.9143127,147.9189837,153.6833754
ASC_FHA_FO..MAR,ASC,FHA,FO,MAR,ASC_FHA_FO..MAR = ASC_FH_FO*ASC_FHA_QP..MAR/(ASC_FH_QP-ASC_FH_CR-ASC_FH_OU),Scalar TS,Numeric,0,0,0,0,0,0.086108958,0.110070534,0.125535646,0.113834516,0.122723822,0.15107755,0.159314157,0.166978935,0.174396624,0.182470134,0.19136334,0.200270161,0.209538539,0.21896101,0.22816307,0.236979144
ASC_FHC_FO..INL,ASC,FHC,FO,INL,ASC_FHC_FO..INL = ASC_FH_FO*ASC_FHC_QP..INL/(ASC_FH_QP-ASC_FH_CR-ASC_FH_OU),Scalar TS,Numeric,37.04452892,54.92445182,64.17876619,68.63722198,67.89597844,68.76804895,65.98178155,61.48009106,48.25245717,50.08910729,52.2614185,53.30248551,53.99163813,54.7465691,55.62557025,56.50108599,57.34456912,58.11141968,59.32540725,60.56180119,61.61150951
ASC_FHC_FO..MAR,ASC,FHC,FO,MAR,"ASC_FHC_FO..MAR = ASC_FH_FO*(ASC_FHC_QP..MAR-ASC_FH_CR-ASC_FH_OU)/(ASC_FH_
QP-ASC_FH_CR-ASC_FH_OU)",Scalar TS,Numeric,47.39568631,35.42239733,20.26238054,20.54355105,27.63043437,27.11571085,40.83891984,59.50766243,96.16804577,95.60264322,101.2800721,104.4091737,106.8624799,109.453308,112.3030423,115.1586251,117.9607616,120.6147451,122.7560802,124.9139594,126.658138
ASL_FHA_FO..INL,ASL,FHA,FO,INL,ASL_FHA_FO..INL = ASL_FH_FO*ASL_FHA_QP..INL/(ASL_FH_QP-ASL_FH_CR-ASL_FH_OU),Scalar TS,Numeric,1955.254018,2160.073224,2426.347366,2617.408667,2794.260093,2978.567659,3116.244996,3228.453608,3452.177387,3516.416403,3678.6888,3832.796868,3981.292958,4132.759359,4303.598942,4482.136512,4674.11854,4895.742795,5068.367412,5286.537599,5505.117568
ASL_FHA_FO..MAR,ASL,FHA,FO,MAR,ASL_FHA_FO..MAR = ASL_FH_FO*ASL_FHA_QP..MAR/(ASL_FH_QP-ASL_FH_CR-ASL_FH_OU),Scalar TS,Numeric,186.2637438,186.6261658,195.3001203,207.7240177,223.6596531,226.7907352,260.484753,261.6657652,231.9878223,255.7834748,272.2297286,268.1247521,273.5353052,283.367734,293.8635741,305.713841,317.0759207,328.5642075,336.8818576,346.8909458,362.0135594
ASL_FHC_FO..INL,ASL,FHC,FO,INL,ASL_FHC_FO..INL = ASL_FH_FO*ASL_FHC_QP..INL/(ASL_FH_QP-ASL_FH_CR-ASL_FH_OU),Scalar TS,Numeric,2170.133053,2173.386586,2128.429647,2229.904536,2301.001801,2354.714499,2416.895999,2480.190996,2543.622528,2443.354401,2416.014759,2442.3439,2473.274667,2503.359674,2533.548618,2564.182822,2593.774863,2625.59532,2660.025816,2693.930322,2728.11367
ASL_FHC_FO..MAR,ASL,FHC,FO,MAR,"ASL_FHC_FO..MAR = ASL_FH_FO*(ASL_FHC_QP..MAR-ASL_FH_CR-ASL_FH_OU)/(ASL_FH_
QP-ASL_FH_CR-ASL_FH_OU)",Scalar TS,Numeric,1575.087698,1547.913331,1581.351202,1469.554149,1544.812374,1529.366277,1554.952268,1607.869283,1458.273537,1487.837791,1465.204137,1479.505428,1500.983303,1519.97931,1537.388923,1552.570445,1561.626367,1574.08226,1581.574563,1587.37962,1590.969919
