OUTPUT,iso3c,production_system,food_type,source,Comment,Org,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
CAN_FHA_FO..MAR,CAN,FHA,FO,MAR,CAN_FHA_FO..MAR = CAN_FH_FO*CAN_FHA_QP..MAR/(CAN_FH_QP-CAN_FH_CR-CAN_FH_OU),Scalar TS,Numeric,115.6652506,133.000379,148.2955068,135.5478059,113.7904194,142.0727202,151.8480999,150.8515425,153.4152786,151.1665252,159.7487991,162.2902901,168.7842259,173.7722747,180.5731279,184.9273177,190.3490346,195.4069332,200.9056639,205.4706122,209.3500954
CAN_FHC_FO..INL,CAN,FHC,FO,INL,CAN_FHC_FO..INL = CAN_FH_FO*CAN_FHC_QP..INL/(CAN_FH_QP-CAN_FH_CR-CAN_FH_OU),Scalar TS,Numeric,20.54733346,21.08284957,24.48990216,24.02200991,23.52913228,22.29340422,24.29940777,24.30648051,36.63886845,24.431722,24.89830598,24.69233238,24.93716424,25.19036402,25.34249732,25.27453124,25.35833559,25.51033435,27.14783677,28.81627835,30.41951224
CAN_FHC_FO..MAR,CAN,FHC,FO,MAR,"CAN_FHC_FO..MAR = CAN_FH_FO*(CAN_FHC_QP..MAR-CAN_FH_CR-CAN_FH_OU)/(CAN_FH_
QP-CAN_FH_CR-CAN_FH_OU)",Scalar TS,Numeric,631.8453433,639.6438463,607.2743744,669.7701161,676.345767,621.8468682,638.6906064,633.0262027,631.635616,639.5871713,640.0438675,634.5451658,641.352249,648.0362204,651.9593474,650.0353464,651.6234809,655.6709396,659.8066542,664.0542407,666.2398297
CHE_FHA_FO..INL,CHE,FHA,FO,INL,CHE_FHA_FO..INL = CHE_FH_FO*EUR_FHA_QP..INL/(EUR_FH_QP-EUR_FH_CR-EUR_FH_OU),Scalar TS,Numeric,4.633962619,4.479307491,4.363374047,4.617400946,4.443166219,4.549174452,5.029689092,4.784893945,4.659782001,4.826263577,4.807059916,5.015970986,5.10979798,5.233817547,5.370557326,5.533219639,5.62567052,5.676044529,5.702536235,5.72212649,5.732366781
CHE_FHA_FO..MAR,CHE,FHA,FO,MAR,CHE_FHA_FO..MAR = CHE_FH_FO*EUR_FHA_QP..MAR/(EUR_FH_QP-EUR_FH_CR-EUR_FH_OU),Scalar TS,Numeric,21.25160754,23.14596596,23.22121273,23.74284431,23.73181071,24.9568572,25.31058047,24.20939097,24.55027703,24.81542507,24.6389841,24.85660558,24.92067385,24.85680425,25.1118626,24.87042614,25.11900138,25.35038484,25.582342,25.6209026,25.63076788
CHE_FHC_FO..INL,CHE,FHC,FO,INL,CHE_FHC_FO..INL = CHE_FH_FO*EUR_FHC_QP..INL/(EUR_FH_QP-EUR_FH_CR-EUR_FH_OU),Scalar TS,Numeric,3.944763096,3.973377658,3.750071646,4.451565758,3.883908788,4.800295701,4.47416228,3.933217801,3.968797353,4.384826865,4.405732817,4.404787417,4.406232254,4.403990279,4.397630547,4.409479754,4.404881281,4.403633063,4.667926526,4.940012107,5.212000615
CHE_FHC_FO..MAR,CHE,FHC,FO,MAR,"CHE_FHC_FO..MAR = CHE_FH_FO*(EUR_FHC_QP..MAR-EUR_FH_CR-EUR_FH_OU)/(EUR_FH_
QP-EUR_FH_CR-EUR_FH_OU)",Scalar TS,Numeric,112.025828,111.2165667,104.6854902,111.4906168,107.0180449,109.2033251,113.0192842,110.7293795,111.5619509,109.4530052,109.6417861,109.2263808,109.0764706,109.027168,108.6510632,108.7276569,108.40058,108.1295228,107.6162434,107.2956425,107.0131633
CHL_FHA_FO..INL,CHL,FHA,FO,INL,CHL_FHA_FO..INL = CHL_FH_FO*CHL_FHA_QP..INL/(CHL_FH_QP-CHL_FH_CR-CHL_FH_OU),Scalar TS,Numeric,7.817372967,7.884198939,9.470470235,6.745057191,9.734222931,0.096856505,0.135337739,0.454337104,0.128821778,0,0,0,0,0,0,-1.20E-12,0,0,-1.11E-12,0,0
CHL_FHA_FO..MAR,CHL,FHA,FO,MAR,CHL_FHA_FO..MAR = CHL_FH_FO*CHL_FHA_QP..MAR/(CHL_FH_QP-CHL_FH_CR-CHL_FH_OU),Scalar TS,Numeric,143.4888617,174.8255051,160.9876528,150.3283642,163.1008521,156.2172858,155.8879762,175.3465482,186.4044567,190.7876745,180.5159924,185.8464399,181.0977969,180.8487828,178.2562498,175.8003684,182.2466628,173.175484,171.6266386,170.1385417,169.55037
CHL_FHC_FO..INL,CHL,FHC,FO,INL,CHL_FHC_FO..INL = CHL_FH_FO*CHL_FHC_QP..INL/(CHL_FH_QP-CHL_FH_CR-CHL_FH_OU),Scalar TS,Numeric,0,0,0,0,0,0,0,5.11E-05,0,0,0,0,0,0,0,0,0,0,0.489647099,0.975250933,1.436358742
CHL_FHC_FO..MAR,CHL,FHC,FO,MAR,"CHL_FHC_FO..MAR = CHL_FH_FO*(CHL_FHC_QP..MAR-CHL_FH_CR-CHL_FH_OU)/(CHL_FH_
QP-CHL_FH_CR-CHL_FH_OU)",Scalar TS,Numeric,90.13421839,69.50792886,61.77818817,71.94069162,66.86040238,60.17559367,61.65455318,45.78922883,51.95804334,47.59852884,60.86096568,53.43730874,60.50031501,62.13897108,65.56916063,69.02787683,62.93477336,73.4974262,76.23278732,78.81010155,79.9295282
CHN_FHA_FO..INL,CHN,FHA,FO,INL,CHN_FHA_FO..INL = CHN_FH_FO*CHN_FHA_QP..INL/(CHN_FH_QP-CHN_FH_CR-CHN_FH_OU),Scalar TS,Numeric,20658.26152,21340.26771,22063.59253,23501.24547,24573.38513,26038.07361,26849.20133,27020.69453,27703.02987,28451.99442,29488.80155,30123.11288,31259.57635,32066.91428,32711.33156,33299.47851,33696.69492,34242.45399,34885.04615,35511.29114,36026.83314
CHN_FHA_FO..MAR,CHN,FHA,FO,MAR,CHN_FHA_FO..MAR = CHN_FH_FO*CHN_FHA_QP..MAR/(CHN_FH_QP-CHN_FH_CR-CHN_FH_OU),Scalar TS,Numeric,11769.43436,12117.36467,12885.94267,13721.23535,14370.93449,14961.49377,15907.97218,16540.11083,16822.06003,17428.69988,17614.71784,17495.88269,17398.28841,17920.8071,18357.22311,18784.45603,19162.90981,19636.0046,20028.26285,20400.8959,20740.39081
CHN_FHC_FO..INL,CHN,FHC,FO,INL,CHN_FHC_FO..INL = CHN_FH_FO*CHN_FHC_QP..INL/(CHN_FH_QP-CHN_FH_CR-CHN_FH_OU),Scalar TS,Numeric,1940.05677,1873.081892,1869.715704,1884.056479,1864.390024,1868.222175,1869.233505,2030.495408,1838.52881,1806.349798,1762.190689,1688.672942,1677.894497,1692.78251,1687.043258,1682.895998,1674.236049,1678.138515,1696.0986,1713.3987,1726.26207
CHN_FHC_FO..MAR,CHN,FHC,FO,MAR,"CHN_FHC_FO..MAR = CHN_FH_FO*(CHN_FHC_QP..MAR-CHN_FH_CR-CHN_FH_OU)/(CHN_FH_
QP-CHN_FH_CR-CHN_FH_OU)",Scalar TS,Numeric,9389.222696,9347.98864,9506.543307,9605.113161,10213.52336,10676.88727,9971.130189,9596.565429,9000.694674,8864.847998,8695.783144,8288.196967,8267.120656,8358.555244,8338.715879,8318.562375,8255.51838,8293.1327,8257.161141,8217.289529,8153.571781
COL_FHA_FO..INL,COL,FHA,FO,INL,COL_FHA_FO..INL = COL_FH_FO*COL_FHA_QP..INL/(COL_FH_QP-COL_FH_CR-COL_FH_OU),Scalar TS,Numeric,107.951697,121.7538467,147.0713297,171.797317,170.2034821,184.0451502,210.9336749,202.5824528,251.8134052,271.2804236,261.1177214,288.9747956,281.1197141,285.9918238,295.054202,304.0501753,335.6719917,326.0543237,330.7156435,339.7305779,348.5904492
