"scientific_name","common_name","genus","category","family","order","production_sector","broad_category","nutrient","value"
"mytilus edulis","blue mussel","mytilus","Moluscs; Other","mytilidae","mytiloida","import","Marine areas","Iron",7.54888888888889
"apostichopus japonicus","japanese sea cucumber","apostichopus","Aquatic Animals; Others","stichopodidae","aspidochirotida","import","Marine areas","Iron",1.2
"nototodarus sloanii","wellington flying squid","nototodarus","Cephalopods","ommastrephidae","teuthida","import","Marine areas","Iron",2.76833333333333
"octopus vulgaris","common octopus","octopus","Cephalopods","octopodidae","octopoda","import","Marine areas","Iron",2.91102823529412
"ommastrephes bartramii","neon flying squid","ommastrephes","Cephalopods","ommastrephidae","teuthida","import","Marine areas","Iron",0.1
"sepia officinalis","common cuttlefish","sepia","Cephalopods","sepiidae","sepiida","import","Marine areas","Iron",3.90465285714286
"sepiidae","cuttlefish, bobtail squids nei",NA,"Cephalopods","sepiidae","sepiida","import","Marine areas","Iron",6.02
"todarodes pacificus","japanese flying squid","todarodes","Cephalopods","ommastrephidae","teuthida","import","Marine areas","Iron",0.3
"callinectes sapidus","blue crab","callinectes","Crustaceans","portunidae","decapoda","import","Marine areas","Iron",0.926266666666667
"cancer pagurus","edible crab","cancer","Crustaceans","cancridae","decapoda","import","Marine areas","Iron",0.594
"chaceon maritae","west african geryon","chaceon","Crustaceans","geryonidae","decapoda","import","Marine areas","Iron",1.525
"chionoecetes japonicus","red snow crab","chionoecetes","Crustaceans","oregoniidae","decapoda","import","Marine areas","Iron",1.5
"chionoecetes opilio","queen crab","chionoecetes","Crustaceans","oregoniidae","decapoda","import","Marine areas","Iron",1.36666666666667
"fenneropenaeus merguiensis","banana prawn","fenneropenaeus","Crustaceans","penaeidae","decapoda","import","Marine areas","Iron",0.175
"homarus americanus","american lobster","homarus","Crustaceans","nephropidae","decapoda","import","Marine areas","Iron",0.344
"jasus edwardsii","red rock lobster","jasus","Crustaceans","palinuridae","decapoda","import","Marine areas","Iron",0.325
"litopenaeus vannamei","whiteleg shrimp","litopenaeus","Crustaceans","penaeidae","decapoda","import","Marine areas","Iron",1
"marsupenaeus japonicus","kuruma prawn","marsupenaeus","Crustaceans","penaeidae","decapoda","import","Marine areas","Iron",1.1
"metapenaeus endeavouri","endeavour shrimp","metapenaeus","Crustaceans","penaeidae","decapoda","import","Marine areas","Iron",0.2
"penaeus monodon","giant tiger prawn","penaeus","Crustaceans","penaeidae","decapoda","import","Marine areas","Iron",1.87669266666667
