"scientific_name","common_name","genus","category","family","order","production_sector","broad_category","nutrient","value"
"mustelus antarcticus","gummy shark","mustelus","Demersal Fish","triakidae","carcharhiniformes","Capture production","Marine areas","Iron",0.325
"nemadactylus spp","morwongs","nemadactylus","Demersal Fish","cheilodactylidae","percoidei","Capture production","Marine areas","Iron",0.475
"plotosus","eeltail catfishes","plotosus","Demersal Fish","plotosidae","siluriformes","import","Marine areas","Iron",1.612745
"scolopsis","monocle breams","scolopsis","Demersal Fish","nemipteridae","perciformes","import","Marine areas","Iron",0.42
"zenopsis nebulosus","mirror dory","zenopsis","Demersal Fish","zeidae","zeiformes","Capture production","Marine areas","Iron",0.8
"anguilla australis","short-finned eel","anguilla","Freshwater Fish","anguillidae","anguilliformes","Capture production","Marine areas","Iron",0.956943846153846
"crassostrea iredalei","slipper cupped oyster","crassostrea","Moluscs; Other","ostreidae","ostreoida","import","Marine areas","Iron",4.69418163265306
"haliotis iris","rainbow abalone","haliotis","Moluscs; Other","haliotidae","patellogastropoda","import","Marine areas","Iron",2.53625
"haliotis rubra","blacklip abalone","haliotis","Moluscs; Other","haliotidae","gastropoda","Capture production","Marine areas","Iron",2.53625
"haliotis rufescens","red abalone","haliotis","Moluscs; Other","haliotidae","patellogastropoda","import","Marine areas","Iron",2.53625
"leiognathus","ponyfishes(=slipmouths)","leiognathus","Pelagic Fish","leiognathidae","perciformes","import","Marine areas","Iron",3.62117142857143
"makaira indica","black marlin","makaira","Pelagic Fish","istiophoridae","scombroidei","Capture production","Marine areas","Iron",0.5
"sarda australis","australian bonito","sarda","Pelagic Fish","scombridae","scombroidei","Capture production","Marine areas","Iron",3.96505769230769
"scomberomorus semifasciatus","broad-barred king mackerel","scomberomorus","Pelagic Fish","scombridae","scombroidei","Capture production","Marine areas","Iron",0.929203666666667
"tetrapturus angustirostris","shortbill spearfish","tetrapturus","Pelagic Fish","istiophoridae","scombroidei","Capture production","Marine areas","Iron",0.6
"trachurus declivis","greenback horse mackerel","trachurus","Pelagic Fish","carangidae","percoidei","Capture production","Marine areas","Iron",2.97260568181818
"illex coindetii","broadtail shortfin squid","illex","Cephalopods","ommastrephidae","teuthida","import","Marine areas","Iron",12.3876
"patinopecten caurinus","weathervane scallop","patinopecten","Moluscs; Other","pectinidae","ostreoida","import","Marine areas","Iron",1.4
"ruditapes decussatus","grooved carpet shell","ruditapes","Moluscs; Other","veneridae","veneroida","import","Marine areas","Iron",6.93333333333333
"merluccius senegalensis","senegalese hake","merluccius","Demersal Fish","merlucciidae","gadiformes","import","Marine areas","Iron",0.977664705882353
"ensis siliqua","sword razor shell","ensis","Moluscs; Other","pharidae","veneroida","import","Marine areas","Iron",7.375
"drepane africana","african sicklefish","drepane","Demersal Fish","drepaneidae","percoidei","Capture production","Marine areas","Iron",0.00053
"polydactylus quadrifilis","giant african threadfin","polydactylus","Demersal Fish","polynemidae","percoidei","Capture production","Marine areas","Iron",0.585714285714286
"alectis alexandrinus","alexandria pompano","alectis","Pelagic Fish","carangidae","percoidei","Capture production","Marine areas","Iron",0.00031
"selene dorsalis","african moonfish","selene","Pelagic Fish","carangidae","percoidei","Capture production","Marine areas","Iron",1.06666666666667
"scomberomorus spp","seerfishes nei","scomberomorus","Pelagic Fish","scombridae","scombroidei","Capture production","Marine areas","Iron",0.929203666666667
"acipenser ruthenus","sterlet sturgeon","acipenser","Freshwater Fish","acipenseridae","acipenseriformes","Aquaculture production","Inland waters","Iron",1.05718181818182
"acipenser stellatus","starry sturgeon","acipenser","Freshwater Fish","acipenseridae","acipenseriformes","Aquaculture production","Inland waters","Iron",1.05718181818182
"alosa pontica","pontic shad","alosa","Freshwater Fish","clupeidae","clupeiformes","Capture production","Inland waters","Iron",1.01493333333333
"alosa immaculata","pontic shad","alosa","Pelagic Fish","clupeidae","clupeiformes","import","Marine areas","Iron",1.01493333333333
"platax spp","batfishes","platax","Demersal Fish","ephippidae","acanthuroidei","Capture production","Marine areas","Iron",0.00047
"sphyraena putnamae","sawtooth barracuda","sphyraena","Pelagic Fish","sphyraenidae","other perciformes","Capture production","Marine areas","Iron",0.795501176470588
"trachurus spp","jack and horse mackerels nei","trachurus","Pelagic Fish","carangidae","percoidei","Capture production","Marine areas","Iron",2.97260568181818
"epinephelus striatus","nassau grouper","epinephelus","Demersal Fish","serranidae","percoidei","Capture production","Marine areas","Iron",0.834117352941177
"eucheuma spp","eucheuma seaweeds nei","eucheuma","Aquatic Plants","solieriaceae","rhodophyceae","Aquaculture production","Marine areas","Iron",8.89066666666667
"merluccius spp","hakes nei","merluccius","Demersal Fish","merlucciidae","gadiformes","Capture production","Marine areas","Iron",0.977664705882353
"cephalopholis fulva","coney","cephalopholis","Demersal Fish","serranidae","percoidei","Capture production","Marine areas","Iron",0.6915
"haemulon spp","grunts nei","haemulon","Demersal Fish","haemulidae","percoidei","Capture production","Marine areas","Iron",0
"caranx spp","jacks, crevalles nei","caranx","Pelagic Fish","carangidae","percoidei","Capture production","Marine areas","Iron",0.715926363636364
"tetrapturus albidus","atlantic white marlin","tetrapturus","Pelagic Fish","istiophoridae","scombroidei","Capture production","Marine areas","Iron",0.6
"gracilaria spp","gracilaria seaweeds","gracilaria","Aquatic Plants","gracilariaceae","rhodophyceae","Aquaculture production","Marine areas","Iron",10.8505
"callinectes danae","dana swimcrab","callinectes","Crustaceans","portunidae","brachyura","Capture production","Marine areas","Iron",1.0712
"penaeus brasiliensis","redspotted shrimp","penaeus","Crustaceans","penaeidae","natantia","Capture production","Marine areas","Iron",4.75274336956522
"penaeus schmitti","southern white shrimp","penaeus","Crustaceans","penaeidae","natantia","Capture production","Marine areas","Iron",4.75274336956522
"alopias superciliosus","bigeye thresher","alopias","Demersal Fish","alopiidae","lamniformes","Capture production","Marine areas","Iron",1.235
"carcharhinus longimanus","oceanic whitetip shark","carcharhinus","Demersal Fish","carcharhinidae","carcharhiniformes","Capture production","Marine areas","Iron",0.35019
"centropomus spp","snooks(=robalos) nei","centropomus","Demersal Fish","centropomidae","percoidei","Capture production","Marine areas","Iron",0.5053
"cynoscion acoupa","acoupa weakfish","cynoscion","Demersal Fish","sciaenidae","percoidei","Capture production","Marine areas","Iron",1.55666666666667
"cynoscion jamaicensis","jamaica weakfish","cynoscion","Demersal Fish","sciaenidae","percoidei","Capture production","Marine areas","Iron",1.55666666666667
"cynoscion leiarchus","smooth weakfish","cynoscion","Demersal Fish","sciaenidae","percoidei","Capture production","Marine areas","Iron",1.55666666666667
"cynoscion spp","weakfishes nei","cynoscion","Demersal Fish","sciaenidae","percoidei","Capture production","Marine areas","Iron",1.55666666666667
"cynoscion virescens","green weakfish","cynoscion","Demersal Fish","sciaenidae","percoidei","Capture production","Marine areas","Iron",1.55666666666667
"diapterus auratus","irish mojarra","diapterus","Demersal Fish","gerreidae","percoidei","Capture production","Marine areas","Iron",10.7
"larimus breviceps","shorthead drum","larimus","Demersal Fish","sciaenidae","percoidei","Capture production","Marine areas","Iron",3.73
"lophius gastrophysus","blackfin goosefish","lophius","Demersal Fish","lophiidae","lophiiformes","Capture production","Marine areas","Iron",2.7433
"priacanthus spp","bigeyes nei","priacanthus","Demersal Fish","priacanthidae","percoidei","Capture production","Marine areas","Iron",0.6421425
"pellona flavipinnis","yellowfin river pellona","pellona","Freshwater Fish","pristigasteridae","clupeiformes","Capture production","Inland waters","Iron",2.52
"perna perna","south american rock mussel","perna","Moluscs; Other","mytilidae","bivalvia","Aquaculture production","Marine areas","Iron",6.343813125
"sardinella brasiliensis","brazilian sardinella","sardinella","Pelagic Fish","clupeidae","clupeiformes","Capture production","Marine areas","Iron",2.65931841666667
"seriola spp","amberjacks nei","seriola","Pelagic Fish","carangidae","percoidei","Capture production","Marine areas","Iron",1.16142857142857
"tetrapturus pfluegeri","longbill spearfish","tetrapturus","Pelagic Fish","istiophoridae","scombroidei","Capture production","Marine areas","Iron",0.6
"trachinotus spp","pompanos nei","trachinotus","Pelagic Fish","carangidae","percoidei","Capture production","Marine areas","Iron",1.28336
"penaeus stylirostris","blue shrimp","penaeus","Crustaceans","penaeidae","natantia","Aquaculture production","Marine areas","Iron",4.75274336956522
"cancer irroratus","atlantic rock crab","cancer","Crustaceans","cancridae","brachyura","Capture production","Marine areas","Iron",1.085625
"metanephrops mozambicus","mozambique lobster","metanephrops","Crustaceans","nephropidae","decapoda","import","Marine areas","Iron",7.4
"ammodytes spp","sandeels(=sandlances) nei","ammodytes","Demersal Fish","ammodytidae","trachinoidei","Capture production","Marine areas","Iron",5.78333333333333
"anarhichas spp","wolffishes(=catfishes) nei","anarhichas","Demersal Fish","anarhichadidae","zoarcoidei","Capture production","Marine areas","Iron",0.12
"sebastes spp","atlantic redfishes nei","sebastes","Demersal Fish","scorpaenidae","scorpaeniformes","Capture production","Marine areas","Iron",0.58412
"salvelinus spp","chars nei","salvelinus","Freshwater Fish","salmonidae","salmoniformes","Capture production","Marine areas","Iron",1.21903571428571
"chlamys islandica","iceland scallop","chlamys","Moluscs; Other","pectinidae","bivalvia","Capture production","Marine areas","Iron",3.2
"haliotis gigantea","giant abalone","haliotis","Moluscs; Other","haliotidae","patellogastropoda","import","Marine areas","Iron",2.53625
"saxidomus giganteus","butter clam","saxidomus","Moluscs; Other","veneridae","bivalvia","Aquaculture production","Marine areas","Iron",6
"spisula polynyma","stimpson's surf clam","spisula","Moluscs; Other","mactridae","bivalvia","Capture production","Marine areas","Iron",4.4
"cetengraulis mysticetus","pacific anchoveta","cetengraulis","Pelagic Fish","engraulidae","clupeiformes","import","Marine areas","Iron",1.2
"gigartina skottsbergii","skottsberg's gigartina","gigartina","Aquatic Plants","gigartinaceae","rhodophyceae","Capture production","Marine areas","Iron",6.3
"lessonia nigrescens","chilean kelp","lessonia","Aquatic Plants","lessoniaceae","phaeophyceae","Capture production","Marine areas","Iron",5.54
"lessonia trabeculata","[lessonia trabeculata]","lessonia","Aquatic Plants","lessoniaceae","phaeophyceae","Capture production","Marine areas","Iron",5.54
"macrocystis pyrifera","giant kelp","macrocystis","Aquatic Plants","lessoniaceae","phaeophyceae","Aquaculture production","Marine areas","Iron",11
"macrocystis spp","giant kelps nei","macrocystis","Aquatic Plants","lessoniaceae","phaeophyceae","Capture production","Marine areas","Iron",11
"mazzaella laminarioides","[mazzaella laminarioides]","mazzaella","Aquatic Plants","gigartinaceae","rhodophyceae","Capture production","Marine areas","Iron",11.2
"porphyra spp","nori nei","porphyra","Aquatic Plants","bangiaceae","rhodophyceae","Capture production","Marine areas","Iron",11.31
"cancer edwardsii","mola rock crab","cancer","Crustaceans","cancridae","brachyura","Capture production","Marine areas","Iron",1.085625
"heterocarpus reedi","chilean nylon shrimp","heterocarpus","Crustaceans","pandalidae","natantia","Capture production","Marine areas","Iron",2.1484
"jasus frontalis","juan fernandez rock lobster","jasus","Crustaceans","palinuridae","reptantia","Capture production","Marine areas","Iron",0.504
"cilus gilberti","corvina drum","cilus","Demersal Fish","sciaenidae","percoidei","Capture production","Marine areas","Iron",1.2
"merluccius gayi","south pacific hake","merluccius","Demersal Fish","merlucciidae","gadiformes","Capture production","Marine areas","Iron",0.977664705882353
"seriolella spp","warehou nei","seriolella","Demersal Fish","centrolophidae","stromateoidei, anabantoidei","Capture production","Marine areas","Iron",0.6
"haliotis discus","japanese abalone","haliotis","Moluscs; Other","haliotidae","gastropoda","Aquaculture production","Marine areas","Iron",2.53625
"ostrea chilensis","chilean flat oyster","ostrea","Moluscs; Other","ostreidae","bivalvia","Aquaculture production","Marine areas","Iron",5.330235
"rhopilema spp","jellyfishes nei","rhopilema","Aquatic Animals; Others","rhizostomidae","scyphozoa","Aquaculture production","Marine areas","Iron",0.3
"enteromorpha clathrata","bright green nori","enteromorpha","Aquatic Plants","ulvaceae","chlorophyceae","Aquaculture production","Marine areas","Iron",10.996
"charybdis spp","charybdis crabs nei","charybdis","Crustaceans","portunidae","brachyura","Capture production","Marine areas","Iron",1.43
"panulirus ornatus","ornate spiny lobster","panulirus","Crustaceans","palinuridae","decapoda","import","Marine areas","Iron",4.23333333333333
"penaeus chinensis","fleshy prawn","penaeus","Crustaceans","penaeidae","natantia","Aquaculture production","Marine areas","Iron",4.75274336956522
"penaeus japonicus","kuruma prawn","penaeus","Crustaceans","penaeidae","natantia","Aquaculture production","Marine areas","Iron",4.75274336956522
"portunus spp","portunus swimcrabs nei","portunus","Crustaceans","portunidae","brachyura","Aquaculture production","Marine areas","Iron",1.157932
"scylla paramamosain","green mud crab","scylla","Crustaceans","portunidae","brachyura","Aquaculture production","Marine areas","Iron",2.71941
"larimichthys croceus","large yellow croaker","larimichthys","Demersal Fish","sciaenidae","percoidei","Aquaculture production","Marine areas","Iron",5
"liza haematocheilus","so-iny (redlip) mullet","liza","Demersal Fish","mugilidae","mugiliformes","Capture production","Marine areas","Iron",2.50112378
"nemipterus spp","threadfin breams nei","nemipterus","Demersal Fish","nemipteridae","percoidei","Capture production","Marine areas","Iron",1.03329176470588
"pagellus erythrinus","common pandora","pagellus","Demersal Fish","sparidae","perciformes","import","Marine areas","Iron",0.201854545454545
"anadara granosa","blood cockle","anadara","Moluscs; Other","arcidae","bivalvia","Aquaculture production","Marine areas","Iron",5.44756333333333
"atrina spp","pen shells nei","atrina","Moluscs; Other","pinnidae","bivalvia","Aquaculture production","Marine areas","Iron",4.025
"haliotis midae","perlemoen abalone","haliotis","Moluscs; Other","haliotidae","patellogastropoda","import","Marine areas","Iron",2.53625
"rapana spp","sea snails","rapana","Moluscs; Other","muricidae","gastropoda","Aquaculture production","Marine areas","Iron",4.6647
"decapterus spp","scads nei","decapterus","Pelagic Fish","carangidae","percoidei","Capture production","Marine areas","Iron",3.78804347826087
"pampus spp","silver pomfrets nei","pampus","Pelagic Fish","stromateidae","stromateoidei, anabantoidei","Capture production","Marine areas","Iron",3.44632454545455
"pomadasys jubelini","sompat grunt","pomadasys","Demersal Fish","haemulidae","percoidei","Capture production","Marine areas","Iron",0.0929
"pseudupeneus prayensis","west african goatfish","pseudupeneus","Demersal Fish","mullidae","percoidei","Capture production","Marine areas","Iron",2.9
"pagellus bellottii","red pandora","pagellus","Demersal Fish","sparidae","percoidei","Capture production","Marine areas","Iron",0.201854545454545
"tridacna spp","giant clams nei","tridacna","Moluscs; Other","tridacnidae","bivalvia","Aquaculture production","Marine areas","Iron",2.3
"panulirus gracilis","green spiny lobster","panulirus","Crustaceans","palinuridae","reptantia","Capture production","Marine areas","Iron",4.23333333333333
"penaeus occidentalis","western white shrimp","penaeus","Crustaceans","penaeidae","natantia","Capture production","Marine areas","Iron",4.75274336956522
"epinephelus analogus","spotted grouper","epinephelus","Demersal Fish","serranidae","percoidei","Capture production","Marine areas","Iron",0.834117352941177
"lutjanus argentiventris","yellow snapper","lutjanus","Demersal Fish","lutjanidae","percoidei","Capture production","Marine areas","Iron",0.9598625
"mugil liza","lebranche mullet","mugil","Demersal Fish","mugilidae","mugiliformes","Capture production","Marine areas","Iron",2.72006243243243
"rastrelliger spp","indian mackerels nei","rastrelliger","Pelagic Fish","scombridae","scombroidei","Capture production","Marine areas","Iron",3.3015525
"canthidermis macrolepis","largescale triggerfish","canthidermis","Demersal Fish","balistidae","tetraodontiformes","Capture production","Marine areas","Iron",0.00033
"penaeus brevirostris","crystal shrimp","penaeus","Crustaceans","penaeidae","natantia","Capture production","Marine areas","Iron",4.75274336956522
"arca spp","ark clams nei","arca","Moluscs; Other","arcidae","bivalvia","Capture production","Marine areas","Iron",12.5
"penaeus duorarum","northern pink shrimp","penaeus","Crustaceans","penaeidae","natantia","Capture production","Marine areas","Iron",4.75274336956522
"palinurus elephas","common spiny lobster","palinurus","Crustaceans","palinuridae","reptantia","Capture production","Marine areas","Iron",0.766
"diplodus spp","sargo breams nei","diplodus","Demersal Fish","sparidae","percoidei","Capture production","Marine areas","Iron",0.403638095238095
"lagocephalus sceleratus","silver-cheeked toadfish","lagocephalus","Demersal Fish","tetraodontidae","tetraodontiformes","Capture production","Marine areas","Iron",1
"sargocentron rubrum","redcoat","sargocentron","Demersal Fish","holocentridae","beryciformes","Capture production","Marine areas","Iron",0.548
"siganus luridus","dusky spinefoot","siganus","Demersal Fish","siganidae","acanthuroidei","Capture production","Marine areas","Iron",1.4929335
"spicara maena","blotched picarel","spicara","Demersal Fish","centracanthidae","percoidei","Capture production","Marine areas","Iron",2.15
"spicara spp","picarels nei","spicara","Demersal Fish","centracanthidae","percoidei","Capture production","Marine areas","Iron",2.15
"abramis spp","freshwater breams nei","abramis","Freshwater Fish","cyprinidae","cypriniformes","Capture production","Marine areas","Iron",0.7372115
"haliotis tuberculata","tuberculate abalone","haliotis","Moluscs; Other","haliotidae","patellogastropoda","import","Marine areas","Iron",2.53625
"coregonus","whitefishes nei","coregonus","Pelagic Fish","salmonidae","salmoniformes","import","Marine areas","Iron",0.7694904
"dentex","dentex nei","dentex","Pelagic Fish","sparidae","perciformes","import","Marine areas","Iron",2.64836
"spisula subtruncata","subtruncate surf clam","spisula","Moluscs; Other","mactridae","veneroida","import","Marine areas","Iron",4.4
"archosargus rhomboidalis","western atlantic seabream","archosargus","Demersal Fish","sparidae","percoidei","Capture production","Marine areas","Iron",0.46
"palinurus spp","palinurid spiny lobsters nei","palinurus","Crustaceans","palinuridae","reptantia","Capture production","Marine areas","Iron",0.766
"scyliorhinus spp","catsharks, nursehounds nei","scyliorhinus","Demersal Fish","scyliorhinidae","carcharhiniformes","Capture production","Marine areas","Iron",0.7
"ucides occidentalis","mangrove ghost crab","ucides","Crustaceans","ocypodidae","brachyura","Capture production","Marine areas","Iron",9.735
"alopias pelagicus","pelagic thresher","alopias","Demersal Fish","alopiidae","lamniformes","Capture production","Marine areas","Iron",1.235
"alopias spp","thresher sharks nei","alopias","Demersal Fish","alopiidae","lamniformes","Capture production","Marine areas","Iron",1.235
"dasyatis longa","longtail stingray","dasyatis","Demersal Fish","dasyatidae","rajiformes","Capture production","Marine areas","Iron",0.600185
"fistularia corneta","pacific cornetfish","fistularia","Demersal Fish","fistulariidae","syngnathiformes","Capture production","Marine areas","Iron",1.96
"micropogonias spp","croakers nei","micropogonias","Demersal Fish","sciaenidae","percoidei","Capture production","Marine areas","Iron",1.91733333333333
"mustelus henlei","brown smooth-hound","mustelus","Demersal Fish","triakidae","carcharhiniformes","Capture production","Marine areas","Iron",0.325
"sphyrna zygaena","smooth hammerhead","sphyrna","Demersal Fish","sphyrnidae","carcharhiniformes","Capture production","Marine areas","Iron",0.00086
"anchoa nasus","longnose anchovy","anchoa","Pelagic Fish","engraulidae","clupeiformes","Capture production","Marine areas","Iron",0.00044
"euthynnus lineatus","black skipjack","euthynnus","Pelagic Fish","scombridae","scombroidei","Capture production","Marine areas","Iron",1.7135
"scomberomorus sierra","pacific sierra","scomberomorus","Pelagic Fish","scombridae","scombroidei","Capture production","Marine areas","Iron",0.929203666666667
"selene peruviana","peruvian moonfish","selene","Pelagic Fish","carangidae","percoidei","Capture production","Marine areas","Iron",1.06666666666667
"sphyraena ensis","mexican barracuda","sphyraena","Pelagic Fish","sphyraenidae","other perciformes","Capture production","Marine areas","Iron",0.795501176470588
"tylosurus spp","needlefishes nei","tylosurus","Pelagic Fish","belonidae","beloniformes","Capture production","Marine areas","Iron",0.00024
"porphyra linearis","ribboned nori","porphyra","Aquatic Plants","bangiaceae","rhodophyceae","Capture production","Marine areas","Iron",11.31
"alepocephalus bairdii","baird's slickhead","alepocephalus","Demersal Fish","alepocephalidae","salmoniformes","Capture production","Marine areas","Iron",0.08
"chelidonichthys lastoviza","streaked gurnard","chelidonichthys","Demersal Fish","triglidae","scorpaeniformes","Capture production","Marine areas","Iron",0.5
"chimaera monstrosa","rabbit fish","chimaera","Demersal Fish","chimaeridae","chimaeriformes","Capture production","Marine areas","Iron",0.9
"dicentrarchus spp","seabasses nei","dicentrarchus","Demersal Fish","moronidae","percoidei","Capture production","Marine areas","Iron",1.42041184210526
"isurus paucus","longfin mako","isurus","Demersal Fish","lamnidae","lamniformes","Capture production","Marine areas","Iron",1.2
"merluccius capensis, m.paradoxus","cape hakes","merluccius","Demersal Fish","merlucciidae","gadiformes","Capture production","Marine areas","Iron",0.977664705882353
"merluccius paradoxus","deep-water cape hake","merluccius","Demersal Fish","merlucciidae","gadiformes","Capture production","Marine areas","Iron",0.977664705882353
"molva macrophthalma","spanish ling","molva","Demersal Fish","gadidae","gadiformes","Capture production","Marine areas","Iron",0.65
"plectorhinchus mediterraneus","rubberlip grunt","plectorhinchus","Demersal Fish","haemulidae","percoidei","Capture production","Marine areas","Iron",1.18212
"pomadasys incisus","bastard grunt","pomadasys","Demersal Fish","haemulidae","percoidei","Capture production","Marine areas","Iron",0.0929
"pomadasys perotaei","parrot grunt","pomadasys","Demersal Fish","haemulidae","percoidei","Capture production","Marine areas","Iron",0.0929
"raja asterias","mediterranean starry ray","raja","Demersal Fish","rajidae","rajiformes","Capture production","Marine areas","Iron",0.693
"raja circularis","sandy ray","raja","Demersal Fish","rajidae","rajiformes","Capture production","Marine areas","Iron",0.693
"raja fullonica","shagreen ray","raja","Demersal Fish","rajidae","rajiformes","Capture production","Marine areas","Iron",0.693
"raja miraletus","brown ray","raja","Demersal Fish","rajidae","rajiformes","Capture production","Marine areas","Iron",0.693
"raja naevus","cuckoo ray","raja","Demersal Fish","rajidae","rajiformes","Capture production","Marine areas","Iron",0.693
"raja oxyrinchus","longnosed skate","raja","Demersal Fish","rajidae","rajiformes","Capture production","Marine areas","Iron",0.693
"raja undulata","undulate ray","raja","Demersal Fish","rajidae","rajiformes","Capture production","Marine areas","Iron",0.693
"scorpaena scrofa","red scorpionfish","scorpaena","Demersal Fish","scorpaenidae","scorpaeniformes","Capture production","Marine areas","Iron",3.14723333333333
"scyliorhinus canicula","small-spotted catshark","scyliorhinus","Demersal Fish","scyliorhinidae","carcharhiniformes","Capture production","Marine areas","Iron",0.7
"solea senegalensis","senegalese sole","solea","Demersal Fish","soleidae","pleuronectiformes","Aquaculture production","Marine areas","Iron",3.73367368421053
"squalus blainville","longnose spurdog","squalus","Demersal Fish","squalidae","squaliformes","Capture production","Marine areas","Iron",1.41428571428571
"uranoscopus scaber","stargazer","uranoscopus","Demersal Fish","uranoscopidae","trachinoidei","Capture production","Marine areas","Iron",0.7
"chlamys varia","variegated scallop","chlamys","Moluscs; Other","pectinidae","bivalvia","Aquaculture production","Marine areas","Iron",3.2
"donax spp","donax clams","donax","Moluscs; Other","donacidae","bivalvia","Capture production","Marine areas","Iron",7.6
"littorina spp","periwinkles nei","littorina","Moluscs; Other","littorinidae","gastropoda","Capture production","Marine areas","Iron",1.17933333333333
"solen spp","solen razor clams nei","solen","Moluscs; Other","solenidae","bivalvia","Aquaculture production","Marine areas","Iron",9.19
"venerupis rhomboides","banded carpet shell","venerupis","Moluscs; Other","veneridae","bivalvia","Capture production","Marine areas","Iron",11.797
"thymallus thymallus","grayling","thymallus","Freshwater Fish","thymallidae","salmoniformes","Capture production","Inland waters","Iron",0.766666666666667
"laminaria hyperborea","north european kelp","laminaria","Aquatic Plants","laminariaceae","phaeophyceae","Capture production","Marine areas","Iron",9.43908
"raja alba","white skate","raja","Demersal Fish","rajidae","rajiformes","Capture production","Marine areas","Iron",0.693
"raja hyperborea","arctic skate","raja","Demersal Fish","rajidae","rajiformes","Capture production","Marine areas","Iron",0.693
"raja microocellata","small-eyed ray","raja","Demersal Fish","rajidae","rajiformes","Capture production","Marine areas","Iron",0.693
"raja radiata","starry ray","raja","Demersal Fish","rajidae","rajiformes","Capture production","Marine areas","Iron",0.693
"raja taaf","whiteleg skate","raja","Demersal Fish","rajidae","rajiformes","Capture production","Marine areas","Iron",0.693
"alosa fallax","twaite shad","alosa","Freshwater Fish","clupeidae","clupeiformes","Capture production","Marine areas","Iron",1.01493333333333
"ruditapes spp","carpet shells nei","ruditapes","Moluscs; Other","veneridae","bivalvia","Capture production","Marine areas","Iron",6.93333333333333
"sphyraena sphyraena","european barracuda","sphyraena","Pelagic Fish","sphyraenidae","other perciformes","Capture production","Marine areas","Iron",0.795501176470588
"anarhichas denticulatus","northern wolffish","anarhichas","Demersal Fish","anarhichadidae","zoarcoidei","Capture production","Marine areas","Iron",0.12
"gadus ogac","greenland cod","gadus","Demersal Fish","gadidae","gadiformes","Capture production","Marine areas","Iron",0.57673
"oreochromis (=tilapia) spp","tilapias nei","oreochromis","Freshwater Fish","cichlidae","percoidei","Capture production","Marine areas","Iron",1.18446591836735
"mustelus asterias","starry smooth-hound","mustelus","Demersal Fish","triakidae","carcharhiniformes","Capture production","Marine areas","Iron",0.325
"raja batis","blue skate","raja","Demersal Fish","rajidae","rajiformes","Capture production","Marine areas","Iron",0.693
"dentex angolensis","angolan dentex","dentex","Demersal Fish","sparidae","percoidei","Capture production","Marine areas","Iron",2.64836
"dentex congoensis","congo dentex","dentex","Demersal Fish","sparidae","percoidei","Capture production","Marine areas","Iron",2.64836
"pseudotolithus senegallus","law croaker","pseudotolithus","Demersal Fish","sciaenidae","percoidei","Capture production","Marine areas","Iron",1.498
"crassostrea gasar","gasar cupped oyster","crassostrea","Moluscs; Other","ostreidae","bivalvia","Aquaculture production","Marine areas","Iron",4.69418163265306
"merluccius polli","benguela hake","merluccius","Demersal Fish","merlucciidae","gadiformes","Capture production","Marine areas","Iron",0.977664705882353
"sciaena spp","sciaenas nei","sciaena","Demersal Fish","sciaenidae","percoidei","Aquaculture production","Marine areas","Iron",2.32
"mugil incilis","parassi mullet","mugil","Demersal Fish","mugilidae","mugiliformes","Capture production","Marine areas","Iron",2.72006243243243
"lutjanus russelli","russell's snapper","lutjanus","Demersal Fish","lutjanidae","percoidei","Aquaculture production","Marine areas","Iron",0.9598625
"muraenesox spp","pike-congers nei","muraenesox","Demersal Fish","muraenesocidae","anguilliformes","Capture production","Marine areas","Iron",0.680886
"rhabdosargus sarba","goldlined seabream","rhabdosargus","Demersal Fish","sparidae","percoidei","Aquaculture production","Marine areas","Iron",0.4
"upeneus spp","goatfishes","upeneus","Demersal Fish","mullidae","percoidei","Capture production","Marine areas","Iron",2.66666666666667
"stolephorus spp","stolephorus anchovies nei","stolephorus","Pelagic Fish","engraulidae","clupeiformes","Capture production","Marine areas","Iron",2.516054
"maja squinado","spinous spider crab","maja","Crustaceans","majidae","brachyura","Capture production","Marine areas","Iron",1.07
"dentex gibbosus","pink dentex","dentex","Demersal Fish","sparidae","percoidei","Capture production","Marine areas","Iron",2.64836
"metapenaeus spp","metapenaeus shrimps nei","metapenaeus","Crustaceans","penaeidae","natantia","Aquaculture production","Marine areas","Iron",2.22944827586207
"cheilinus undulatus","humphead wrasse","cheilinus","Demersal Fish","labridae","percoidei","Capture production","Marine areas","Iron",0.97
"plectorhinchus spp","sweetlips, rubberlips nei","plectorhinchus","Demersal Fish","haemulidae","percoidei","Capture production","Marine areas","Iron",1.18212
"pristipomoides spp","jobfishes nei","pristipomoides","Demersal Fish","lutjanidae","percoidei","Capture production","Marine areas","Iron",0.00046
"terapon spp","terapon perches nei","terapon","Demersal Fish","terapontidae","percoidei","Capture production","Marine areas","Iron",0.00073
"anguilla spp","river eels nei","anguilla","Freshwater Fish","anguillidae","anguilliformes","Aquaculture production","Inland waters","Iron",0.956943846153846
"tenualosa toli","toli shad","tenualosa","Freshwater Fish","clupeidae","clupeiformes","Capture production","Marine areas","Iron",1.908419
"meretrix spp","hard clams nei","meretrix","Moluscs; Other","veneridae","bivalvia","Capture production","Marine areas","Iron",4.72941166666667
"chirocentrus spp","wolf-herrings nei","chirocentrus","Pelagic Fish","chirocentridae","clupeiformes","Capture production","Marine areas","Iron",3.91219666666667
"scomberomorus lineolatus","streaked seerfish","scomberomorus","Pelagic Fish","scombridae","scombroidei","Capture production","Marine areas","Iron",0.929203666666667
