mar_taxa_name,mar_match_key,afcd_match_species,afcd_match_genus,afcd_match_family,afcd_match_order,afcd_match_class,afcd_match_phylum,missing,tonnes
penaeus penicillatus,penaeus,NA,penaeus,NA,NA,NA,NA,0,464042.0849
mene maculata,mene maculata,mene maculata,mene,NA,NA,NA,NA,0,457935.541
melicertus kerathurus,melicertus,NA,melicertus,NA,NA,NA,NA,0,451950.2337
balistes capriscus,balistes capriscus,balistes capriscus,balistes,NA,NA,NA,NA,0,449298.8142
crassostrea,crassostrea,NA,crassostrea,NA,NA,NA,NA,0,447274.8212
muraenesox,muraenesox,NA,muraenesox,NA,NA,NA,NA,0,443227.7932
callinectes,callinectes,NA,callinectes,NA,NA,NA,NA,0,442270.0881
sciaenops ocellatus,NA,NA,NA,NA,NA,NA,NA,1,440333.2678
ammodytes,ammodytes,NA,ammodytes,NA,NA,NA,NA,0,438929.4141
galeorhinus galeus,NA,NA,NA,NA,NA,NA,NA,1,436724.4928
litopenaeus schmitti,litopenaeus,NA,litopenaeus,NA,NA,NA,NA,0,435861.2022
squilla biformis,squilla,NA,squilla,NA,NA,NA,NA,0,435796.7994
genypterus capensis,genypterus capensis,genypterus capensis,genypterus,NA,NA,NA,NA,0,434511.698
serranus,serranus,NA,serranus,NA,NA,NA,NA,0,431573.1712
cynoscion virescens,cynoscion,NA,cynoscion,NA,NA,NA,NA,0,430553.2396
cardium edule,cardium,NA,cardium,NA,NA,NA,NA,0,429204.3996
epinephelus morio,epinephelus morio,epinephelus morio,epinephelus,NA,NA,NA,NA,0,426055.7413
miichthys miiuy,miichthys miiuy,miichthys miiuy,miichthys,NA,NA,NA,NA,0,425531.4979
scyliorhinus canicula,scyliorhinus canicula,scyliorhinus canicula,scyliorhinus,NA,NA,NA,NA,0,422589.0263
trachurus lathami,trachurus lathami,trachurus lathami,trachurus,NA,NA,NA,NA,0,421922.2701
sarotherodon galilaeus,sarotherodon galilaeus,sarotherodon galilaeus,sarotherodon,NA,NA,NA,NA,0,408923.4719
capros aper,capros aper,capros aper,capros,NA,NA,NA,NA,0,404492.4181
plectorhinchus mediterraneus,plectorhinchus,NA,plectorhinchus,NA,NA,NA,NA,0,401870.0485
concholepas concholepas,concholepas,NA,concholepas,NA,NA,NA,NA,0,401048.5476
argentina,argentina,NA,argentina,NA,NA,NA,NA,0,396562.2719
meretrix,meretrix,NA,meretrix,NA,NA,NA,NA,0,396219
cetengraulis edentulus,cetengraulis eduntulus,cetengraulis eduntulus,cetengraulis,NA,NA,NA,NA,0,395141.0874
nemadactylus bergi,nemadactylus bergi,nemadactylus bergi,nemadactylus,NA,NA,NA,NA,0,389105.0284
psettodidae,psettodidae,NA,NA,psettodidae,NA,NA,NA,0,386114.7336
perca fluviatilis,perca fluviatilis,perca fluviatilis,perca,NA,NA,NA,NA,0,382498.2575
coregonus,coregonus,NA,coregonus,NA,NA,NA,NA,0,381326.678
decapterus maruadsi,decapterus maruadsi,decapterus maruadsi,decapterus,NA,NA,NA,NA,0,381123.8202
sparisoma cretense,sparisoma cretense,sparisoma cretense,sparisoma,NA,NA,NA,NA,0,380099.699
rhomboplites aurorubens,NA,NA,NA,NA,NA,NA,NA,1,379918.4732
mytilus chilensis,mytilus chilensis,mytilus chilensis,mytilus,NA,NA,NA,NA,0,371803.3286
apsilus fuscus,aspius,NA,aspius,NA,NA,NA,NA,0,365279.8096
melicertus latisulcatus,melicertus latisulcatus,melicertus latisulcatus,melicertus,NA,NA,NA,NA,0,362480.4638
cetorhinus maximus,NA,NA,NA,NA,NA,NA,NA,1,356757.5216
paralonchurus peruanus,parolonchurus,NA,parolonchurus,NA,NA,NA,NA,0,356437.0505
scomberomorus tritor,scomberomorus,NA,scomberomorus,NA,NA,NA,NA,0,353906.2108
pagellus bogaraveo,pagellus bogaraveo,pagellus bogaraveo,pagellus,NA,NA,NA,NA,0,352842.768
centropomus,centropomus,NA,centropomus,NA,NA,NA,NA,0,349957.9835
scophthalmidae,scophthalmidae,NA,NA,scophthalmidae,NA,NA,NA,0,349672.5943
solea,solea,NA,solea,NA,NA,NA,NA,0,348521.0521
pogonias cromis,pogonias cromis,pogonias cromis,pogonias,NA,NA,NA,NA,0,348201.3728
dentex gibbosus,dentex,NA,dentex,NA,NA,NA,NA,0,344488.1183
bramidae,bramidae,NA,NA,bramidae,NA,NA,NA,0,344092.4276
pteroscion peli,NA,NA,NA,NA,NA,NA,NA,1,342477.9434
buccinidae, buccinidae, buccinidae,NA,buccinidae,NA,NA,NA,0,342234.739
selene dorsalis,selene,NA,selene,NA,NA,NA,NA,0,341132.3695
cynoscion analis,cynoscion,NA,cynoscion,NA,NA,NA,NA,0,340603.1466
sillago sihama,sillago sihama,sillago sihama,sillago,NA,NA,NA,NA,0,338765.9531
acanthistius brasilianus,acanthistius brasilianus,acanthistius brasilianus,acanthistius,NA,NA,NA,NA,0,334848.328
salvelinus,salvelinus,NA,salvelinus,NA,NA,NA,NA,0,334787.4752
percophis brasiliensis,percophis brasilensis,percophis brasilensis,percophis,NA,NA,NA,NA,0,333767.046
diplodus annularis,diplodus annularis,diplodus annularis,diplodus,NA,NA,NA,NA,0,329584.2837
selene setapinnis,selene,NA,selene,NA,NA,NA,NA,0,328010.073
istiompax indica,NA,NA,NA,NA,NA,NA,NA,1,323554.2758
salilota australis,salilota australis,salilota australis,salilota,NA,NA,NA,NA,0,323429.1369
plesionika trispinus,plesionika,NA,plesionika,NA,NA,NA,NA,0,319935.4147
lithodes aequispinus,lithodes,NA,lithodes,NA,NA,NA,NA,0,318678.7436
spicara,spicara,NA,spicara,NA,NA,NA,NA,0,317746.7672
coregonus sardinella,coregonus sardinella,coregonus sardinella,coregonus,NA,NA,NA,NA,0,317074.4429
epinephelus marginatus,epinephelus marginatus,epinephelus marginatus,epinephelus,NA,NA,NA,NA,0,315185.3374
sciades parkeri,ucides,NA,ucides,NA,NA,NA,NA,0,311803.8514
elops lacerta,elops lacerta,elops lacerta,elops,NA,NA,NA,NA,0,308763.5176
nebris microps,zebrias,NA,zebrias,NA,NA,NA,NA,0,308717.3236
esox lucius,esox lucius,esox lucius,esox,NA,NA,NA,NA,0,307435.4861
decapterus macarellus,decapterus,NA,decapterus,NA,NA,NA,NA,0,306419.8577
centropristis striata,centropristis striata,centropristis striata,centropristis,NA,NA,NA,NA,0,305541.6569
pampus chinensis,pampus chinensis,pampus chinensis,pampus,NA,NA,NA,NA,0,304965.0862
paralabrax humeralis,paralabrax,NA,paralabrax,NA,NA,NA,NA,0,303546.3336
aphanopus carbo,aphanopus carbo,aphanopus carbo,aphanopus,NA,NA,NA,NA,0,301030.1535
aristeus varidens,aristeus,NA,aristeus,NA,NA,NA,NA,0,297561.7007
heterocarpus reedi,heterocarpus reedi,heterocarpus reedi,heterocarpus,NA,NA,NA,NA,0,296411.1075
pseudotolithus typus,pseudotolithus typus,pseudotolithus typus,pseudotolithus,NA,NA,NA,NA,0,295333.1862
pterogymnus laniarius,NA,NA,NA,NA,NA,NA,NA,1,294768.5561
hypoptychus dybowskii,hypoptychus dybowskii,hypoptychus dybowskii,hypoptychus,NA,NA,NA,NA,0,294168.9989
arripis trutta,arripis trutta,arripis trutta,arripis,NA,NA,NA,NA,0,292397.5919
muraenidae,muraenidae,NA,NA,muraenidae,NA,NA,NA,0,291356.0926
genyatremus luteus,NA,NA,NA,NA,NA,NA,NA,1,286601.0436
oblada melanura,oblada melanura,oblada melanura,oblada,NA,NA,NA,NA,0,285905.1137
cynoglossidae,cynoglossidae,NA,NA,cynoglossidae,NA,NA,NA,0,282579.7582
pentheroscion mbizi,NA,NA,NA,NA,NA,NA,NA,1,281625.7339
megalops atlanticus,megalops atlanticus,megalops atlanticus,megalops,NA,NA,NA,NA,0,281334.1974
trochus,trichius,NA,trichius,NA,NA,NA,NA,0,279198.3432
holocentridae,holocentridae,NA,NA,holocentridae,NA,NA,NA,0,277960.4817
apostichopus japonicus,apostichopus japonicus,apostichopus japonicus,apostichopus,NA,NA,NA,NA,0,277537.5323
nibea mitsukurii,nibea,NA,nibea,NA,NA,NA,NA,0,276857.5043
cynoscion jamaicensis,cynoscion jamaicensis,cynoscion jamaicensis,cynoscion,NA,NA,NA,NA,0,276306.7781
eledone cirrhosa,eledone cirrhosa,eledone cirrhosa,eledone,NA,NA,NA,NA,0,276156.2032
diplodus vulgaris,diplodus vulgaris,diplodus vulgaris,diplodus,NA,NA,NA,NA,0,275568.8483
pecten novaezelandiae,pecten novaezelandiae,pecten novaezelandiae,pecten,NA,NA,NA,NA,0,272892.5214
salmo,salmo,NA,salmo,NA,NA,NA,NA,0,271753.0052
plotosus,plotosus,NA,plotosus,NA,NA,NA,NA,0,271038.5434
carcharhinus sorrah,carcharhinus sorrah,carcharhinus sorrah,carcharhinus,NA,NA,NA,NA,0,269116.5171
littorina littorea,littorina littorea,littorina littorea,littorina,NA,NA,NA,NA,0,268895.2291
meretrix lusoria,meretrix lusoria,meretrix lusoria,meretrix,NA,NA,NA,NA,0,268798.8554
anchoviella,NA,NA,NA,NA,NA,NA,NA,1,266944.0357
brama brama,brama,NA,brama,NA,NA,NA,NA,0,263439.8016
gempylidae,gempylidae,NA,NA,gempylidae,NA,NA,NA,0,261721.3166
crangonidae,crangonidae,NA,NA,crangonidae,NA,NA,NA,0,261204.1321
caranx melampygus,caranx,NA,caranx,NA,NA,NA,NA,0,258712.7698
pagellus acarne,pagellus acarne,pagellus acarne,pagellus,NA,NA,NA,NA,0,257616.3121
sphyrna zygaena,sphyrna,NA,sphyrna,NA,NA,NA,NA,0,256782.0364
seriolella brama,seriolella brama,seriolella brama,seriolella,NA,NA,NA,NA,0,255923.0093
plectorhinchus,plectorhinchus,NA,plectorhinchus,NA,NA,NA,NA,0,255232.5182
farfantepenaeus brevirostris,NA,NA,NA,NA,NA,NA,NA,1,251799.3615
farfantepenaeus brasiliensis,NA,NA,NA,NA,NA,NA,NA,1,250210.8774
scomberomorus sierra,scomberomorus sierra,scomberomorus sierra,scomberomorus,NA,NA,NA,NA,0,249332.3363
diogenidae,NA,NA,NA,NA,NA,NA,NA,1,249060.9318
ablennes hians,ablennes hians,ablennes hians,ablennes,NA,NA,NA,NA,0,243075.0277
centropomus undecimalis,centropomus undecimalis,centropomus undecimalis,centropomus,NA,NA,NA,NA,0,241257.2326
panopea abrupta,panopea abrupta,panopea abrupta,panopea,NA,NA,NA,NA,0,239877.3554
eleutheronema tetradactylum,eleutheronema tetradactylum,eleutheronema tetradactylum,eleutheronema,NA,NA,NA,NA,0,238297.5982
atherinidae,atherinidas,atherinidas,atherinidas,atherinidae,NA,NA,NA,0,237988.0405
sphyrna,sphyrna,NA,sphyrna,NA,NA,NA,NA,0,237229.0727
gerres,gerres,NA,gerres,NA,NA,NA,NA,0,236557.554
lutjanus analis,lutjanus,NA,lutjanus,NA,NA,NA,NA,0,235313.6542
acanthurus,acanthurus,NA,acanthurus,NA,NA,NA,NA,0,232194.9472
sarda chiliensis lineolata,sarda,NA,sarda,NA,NA,NA,NA,0,231866.3648
alopias vulpinus,NA,NA,NA,NA,NA,NA,NA,1,231087.8837
litopenaeus occidentalis,litopenaeus,NA,litopenaeus,NA,NA,NA,NA,0,229262.0752
chelidonichthys cuculus,chelidonichthys cuculus,chelidonichthys cuculus,chelidonichthys,NA,NA,NA,NA,0,228862.4868
atule mate,atule mate,atule mate,atule,NA,NA,NA,NA,0,224623.7309
leiognathus equulus,leiognathus equulus,leiognathus equulus,leiognathus,NA,NA,NA,NA,0,224284.7172
sphyrna lewini,sphyrna,NA,sphyrna,NA,NA,NA,NA,0,223792.4051
homarus gammarus,homarus gammarus,homarus gammarus,homarus,NA,NA,NA,NA,0,223555.9265
lutjanus argentimaculatus,lutjanus argentimaculatus,lutjanus argentimaculatus,lutjanus,NA,NA,NA,NA,0,222711.9336
metapenaeus joyneri,metapenaeus joyneri,metapenaeus joyneri,metapenaeus,NA,NA,NA,NA,0,222287.2284
eledone,eledone,NA,eledone,NA,NA,NA,NA,0,222187.6347
pomadasys kaakan,pomadasys,NA,pomadasys,NA,NA,NA,NA,0,222027.5176
centroberyx affinis,centroberyx,NA,centroberyx,NA,NA,NA,NA,0,220291.6476
spicara maena,spicara maena,spicara maena,spicara,NA,NA,NA,NA,0,218268.7029
lutjanus argentiventris,lutjanus,NA,lutjanus,NA,NA,NA,NA,0,217964.0705
istiophorus albicans,istiophorus,NA,istiophorus,NA,NA,NA,NA,0,217608.8637
umbrina canariensis,umbrina,NA,umbrina,NA,NA,NA,NA,0,216851.1757
metapenaeus monoceros,metapenaeus monoceros,metapenaeus monoceros,metapenaeus,NA,NA,NA,NA,0,216386.9221
pentanemus quinquarius,pentanemus quinquarius,pentanemus quinquarius,pentanemus,NA,NA,NA,NA,0,213701.1364
murex,meurex,NA,meurex,NA,NA,NA,NA,0,213279.6557
lutjanus quinquelineatus,lutjanus quinquelineatus,lutjanus quinquelineatus,lutjanus,NA,NA,NA,NA,0,213159.5944
panulirus polyphagus,panulirus,NA,panulirus,NA,NA,NA,NA,0,211631.6863
congresox talabonoides,congresox,NA,congresox,NA,NA,NA,NA,0,210450.9611
acipenseridae,acipenseridae,NA,NA,acipenseridae,NA,NA,NA,0,209132.9993
menticirrhus americanus,menticirrhus americanus,menticirrhus americanus,menticirrhus,NA,NA,NA,NA,0,207476.3483
cancer irroratus,cancer,NA,cancer,NA,NA,NA,NA,0,207472.0726
pseudupeneus prayensis,pseudupeneus,NA,pseudupeneus,NA,NA,NA,NA,0,207281.6859
thunnus atlanticus,thunnus,NA,thunnus,NA,NA,NA,NA,0,206716.1473
asterias rubens,NA,NA,NA,NA,NA,NA,NA,1,206464.2578
isacia conceptionis,NA,NA,NA,NA,NA,NA,NA,1,205890.4798
malacanthidae,malacanthidae,NA,NA,malacanthidae,NA,NA,NA,0,204769.21
scyllaridae,scyllarides,NA,scyllarides,scyllaridae,NA,NA,NA,0,204256.6954
liparis tanakae,liparis tanakae,liparis tanakae,liparis,NA,NA,NA,NA,0,204142.5102
raja clavata,raja clavata,raja clavata,raja,NA,NA,NA,NA,0,203655.2463
porichthys porosissimus,aorichthys,NA,aorichthys,NA,NA,NA,NA,0,202405.5885
artemesia longinaris,artemesia longinaris,artemesia longinaris,artemesia,NA,NA,NA,NA,0,201635.5521
lepidonotothen squamifrons,lepidonotothen squamifrons,lepidonotothen squamifrons,lepidonotothen,NA,NA,NA,NA,0,201632.069
lichia amia,cichla,NA,cichla,NA,NA,NA,NA,0,201492.6203
caranx sexfasciatus,caranx sexfasciatus,caranx sexfasciatus,caranx,NA,NA,NA,NA,0,201196.5142
beryx splendens,beryx splendens,beryx splendens,beryx,NA,NA,NA,NA,0,200377.3005
sciades proops,ucides,NA,ucides,NA,NA,NA,NA,0,198750.5778
bagre bagre,bagre,NA,bagre,NA,NA,NA,NA,0,197707.8634
osmerus eperlanus,osmerus,NA,osmerus,NA,NA,NA,NA,0,196690.4618
stromateus fiatola,stromateus,NA,stromateus,NA,NA,NA,NA,0,196628.6966
chaceon maritae,NA,NA,NA,NA,NA,NA,NA,1,196074.1798
eleginus nawaga,eleginus,NA,eleginus,NA,NA,NA,NA,0,195807.4114
stenotomus chrysops,stenotomus chrysops,stenotomus chrysops,stenotomus,NA,NA,NA,NA,0,195417.9433
urophycis brasiliensis,urophycis brasiliensis,urophycis brasiliensis,urophycis,NA,NA,NA,NA,0,195076.0844
octopus cyanea,octopus cyanea,octopus cyanea,octopus,NA,NA,NA,NA,0,194785.451
genypterus maculatus,genypterus maculatus,genypterus maculatus,genypterus,NA,NA,NA,NA,0,194501.8238
isopisthus parvipinnis,isopisthus parvipinnis,isopisthus parvipinnis,isopisthus,NA,NA,NA,NA,0,193911.8151
anarhichadidae,anarhichadidae,NA,NA,anarhichadidae,NA,NA,NA,0,193910.0314
coryphaenoides,coryphaenoides,NA,coryphaenoides,NA,NA,NA,NA,0,193617.253
lamnidae,NA,NA,NA,NA,NA,NA,NA,1,189307.9142
lampanyctodes hectoris,NA,NA,NA,NA,NA,NA,NA,1,188839.7
merluccius polli,merluccius,NA,merluccius,NA,NA,NA,NA,0,187413.3745
drepane punctata,drepane punctata,drepane punctata,drepane,NA,NA,NA,NA,0,187188.8031
mytilus platensis,mytilu platensis,mytilu platensis,mytilus,NA,NA,NA,NA,0,186604.5195
mizuhopecten yessoensis,mizuhopecten yessoensis,mizuhopecten yessoensis,mizuhopecten,NA,NA,NA,NA,0,184101.5957
archosargus probatocephalus,archosargus probatocephalus,archosargus probatocephalus,archosargus,NA,NA,NA,NA,0,183454.9876
lethrinus mahsena,lethrinus mahsena,lethrinus mahsena,lethrinus,NA,NA,NA,NA,0,183142.1116
ostrea edulis,ostrea edulis,ostrea edulis,ostrea,NA,NA,NA,NA,0,182511.394
scarus,scarus,NA,scarus,NA,NA,NA,NA,0,181787.5346
caranx latus,caranx,NA,caranx,NA,NA,NA,NA,0,181647.5027
lamna nasus,lamna nasus,lamna nasus,lamna,NA,NA,NA,NA,0,177839.804
menticirrhus,menticirrhus,NA,menticirrhus,NA,NA,NA,NA,0,177837.2773
cynoscion regalis,cynoscion,NA,cynoscion,NA,NA,NA,NA,0,177019.7127
cottidae,cottoidea,cottoidea,cottoidea,cottidae,NA,NA,NA,0,173382.8514
aetobatus narinari,NA,NA,NA,NA,NA,NA,NA,1,172308.6617
bregmaceros mcclellandi,bregmaceros mcclellandi,bregmaceros mcclellandi,bregmaceros,NA,NA,NA,NA,0,171361.784
lepas,alepes,NA,alepes,NA,NA,NA,NA,0,171089.7179
rhinobatos,rhinobatos,NA,rhinobatos,NA,NA,NA,NA,0,170612.9696
makaira nigricans,makaira,NA,makaira,NA,NA,NA,NA,0,170440.5643
argyrops spinifer,argyrops,NA,argyrops,NA,NA,NA,NA,0,169678.2948
semele solida,selene,NA,selene,NA,NA,NA,NA,0,168566.8857
chelidonichthys lucerna,chelidonichthys lucerna,chelidonichthys lucerna,chelidonichthys,NA,NA,NA,NA,0,167713.8064
diplectrum formosum,diplectrum,NA,diplectrum,NA,NA,NA,NA,0,167256.4467
patagonotothen brevicauda brevicauda,patagonotothen,NA,patagonotothen,NA,NA,NA,NA,0,167154.4876
pyura chilensis,pyura chilensis,pyura chilensis,pyura,NA,NA,NA,NA,0,167014.6143
glyptocephalus zachirus,glyptocephalus zachirus,glyptocephalus zachirus,glyptocephalus,NA,NA,NA,NA,0,166714.0418
crassostrea rhizophorae,crassostrea rhizophorae,crassostrea rhizophorae,crassostrea,NA,NA,NA,NA,0,165229.3291
polyprion,polyprion,NA,polyprion,NA,NA,NA,NA,0,164012.0586
cyclopsetta querna,NA,NA,NA,NA,NA,NA,NA,1,163834.0448
macrourus berglax,macrourus berglax,macrourus berglax,macrourus,NA,NA,NA,NA,0,163295.4605
rachycentridae,rachycentridae,NA,NA,rachycentridae,NA,NA,NA,0,162857.5074
caproidae,caproidae,NA,NA,caproidae,NA,NA,NA,0,162373.3052
cypselurus,cypselurus,NA,cypselurus,NA,NA,NA,NA,0,161720.5064
diapterus rhombeus,diapterus,NA,diapterus,NA,NA,NA,NA,0,161376.812
parapercis colias,parapercis,NA,parapercis,NA,NA,NA,NA,0,161305.0071
lobotes surinamensis,lobotes surinamensis,lobotes surinamensis,lobotes,NA,NA,NA,NA,0,160252.1291
acanthopagrus schlegelii,acanthopagrus schlegelii,acanthopagrus schlegelii,acanthopagrus,NA,NA,NA,NA,0,158074.2347
alosa sapidissima,alosa sapidissima,alosa sapidissima,alosa,NA,NA,NA,NA,0,157760.1757
farfantepenaeus paulensis,NA,NA,NA,NA,NA,NA,NA,1,154921.7387
lithodes antarcticus,lithodes antarcticus,lithodes antarcticus,lithodes,NA,NA,NA,NA,0,154165.7824
leucoraja naevus,leucoraja naevus,leucoraja naevus,leucoraja,NA,NA,NA,NA,0,152685.485
aspistor quadriscutis,NA,NA,NA,NA,NA,NA,NA,1,152661.1321
parapenaeopsis hardwickii,parapenaeopsis,NA,parapenaeopsis,NA,NA,NA,NA,0,152097.7236
mustelus lenticulatus,mustelus lenticulatus,mustelus lenticulatus,mustelus,NA,NA,NA,NA,0,151416.4613
asterozoa,NA,NA,NA,NA,NA,NA,NA,1,149808.9187
rexea solandri,rexea solandri,rexea solandri,rexea,NA,NA,NA,NA,0,149217.1177
helicolenus dactylopterus,helicolenus dactylopterus,helicolenus dactylopterus,helicolenus,NA,NA,NA,NA,0,149084.64
rhynchobatus djiddensis,NA,NA,NA,NA,NA,NA,NA,1,148528.4093
batrachoididae,NA,NA,NA,NA,NA,NA,NA,1,148217.1709
parophrys vetulus,parophrys vetulus,parophrys vetulus,parophrys,NA,NA,NA,NA,0,147704.2074
tylosurus crocodilus,tylosurus crocodilus,tylosurus crocodilus,tylosurus,NA,NA,NA,NA,0,147490.839
sebastes entomelas,sebastes,NA,sebastes,NA,NA,NA,NA,0,146492.0088
grammoplites suppositus,grammoplites suppositus,grammoplites suppositus,grammoplites,NA,NA,NA,NA,0,146211.4853
sprattus fuegensis,sprattus fuegensis,sprattus fuegensis,sprattus,NA,NA,NA,NA,0,146062.808
mola mola,mora,NA,mora,NA,NA,NA,NA,0,144900.9804
parona signata,parona signata,parona signata,parona,NA,NA,NA,NA,0,144050.0845
phycis blennoides,phycis blennoides,phycis blennoides,phycis,NA,NA,NA,NA,0,143890.1616
calamus,chlamys,NA,chlamys,NA,NA,NA,NA,0,143429.1459
panulirus homarus,panulirus,NA,panulirus,NA,NA,NA,NA,0,143123.5807
haliotis rubra,haliotis,NA,haliotis,NA,NA,NA,NA,0,142605.5003
umbrina cirrosa,umbrina cirrosa,umbrina cirrosa,umbrina,NA,NA,NA,NA,0,142545.8364
sicyonia brevirostris,silonia,NA,silonia,NA,NA,NA,NA,0,142501.8421
thryssa baelama,thryssa,NA,thryssa,NA,NA,NA,NA,0,142441.3279
carcinus maenas,carcinus maenas,carcinus maenas,carcinus,NA,NA,NA,NA,0,142345.8811
argentina silus,argentina,NA,argentina,NA,NA,NA,NA,0,140877.2313
cilus gilberti,cilus gilberti,cilus gilberti,cilus,NA,NA,NA,NA,0,140376.0594
kyphosidae,kyphosidae,NA,NA,kyphosidae,NA,NA,NA,0,137842.0552
scophthalmus rhombus,scophthalmus rhombus,scophthalmus rhombus,scophthalmus,NA,NA,NA,NA,0,137694.1972
brotula barbata,brotia,NA,brotia,NA,NA,NA,NA,0,137376.9456
menippe mercenaria,menippe mercenaria,menippe mercenaria,menippe,NA,NA,NA,NA,0,136695.5617
hexagrammidae,hexagrammidae,NA,NA,hexagrammidae,NA,NA,NA,0,136393.72
tautoga onitis,NA,NA,NA,NA,NA,NA,NA,1,135341.9548
carangoides talamparoides,carangoides,NA,carangoides,NA,NA,NA,NA,0,134727.445
myctophidae,myctophidae,NA,NA,myctophidae,NA,NA,NA,0,134589.4647
perna canaliculus,perna canaliculus,perna canaliculus,perna,NA,NA,NA,NA,0,133820.9239
carcharhinus longimanus,carcharhinus,NA,carcharhinus,NA,NA,NA,NA,0,133586.3069
hyporhamphus sajori,hyporhamphus sajori,hyporhamphus sajori,hyporhamphus,NA,NA,NA,NA,0,132765.7885
lophius americanus,lophius,NA,lophius,NA,NA,NA,NA,0,132575.4619
saxidomus gigantea,saxidomus giganteus,saxidomus giganteus,saxidomus,NA,NA,NA,NA,0,132182.414
gerres oyena,gerres oyena,gerres oyena,gerres,NA,NA,NA,NA,0,130951.988
rutilus rutilus,rutilus,NA,rutilus,NA,NA,NA,NA,0,130796.9668
ariomma indicum,ariomma indica,ariomma indica,ariomma,NA,NA,NA,NA,0,130716.0037
acanthocardia tuberculata,NA,NA,NA,NA,NA,NA,NA,1,130683.4998
panulirus longipes,panulirus longipes,panulirus longipes,panulirus,NA,NA,NA,NA,0,130592.884
pseudopercis semifasciata,pseudopercis semifasciata,pseudopercis semifasciata,pseudopercis,NA,NA,NA,NA,0,129573.5
anarhichas minor,anarhichas minor,anarhichas minor,anarhichas,NA,NA,NA,NA,0,129459.4564
nototodarus sloanii,nototodarus sloanii,nototodarus sloanii,nototodarus,NA,NA,NA,NA,0,128361.2347
trachinotus ovatus,trachinotus ovatus,trachinotus ovatus,trachinotus,NA,NA,NA,NA,0,127663.6781
trachinus draco,trachinus draco,trachinus draco,trachinus,NA,NA,NA,NA,0,127608.2048
triakidae,triakidae,NA,NA,triakidae,NA,NA,NA,0,126305.4324
phycis phycis,phycis,NA,phycis,NA,NA,NA,NA,0,124837.9131
galeocerdo cuvier,galeocerdo cuvier,galeocerdo cuvier,galeocerdo,NA,NA,NA,NA,0,124344.4524
kathetostoma giganteum,NA,NA,NA,NA,NA,NA,NA,1,123969.4407
seriolella caerulea,seriolella caerulea,seriolella caerulea,seriolella,NA,NA,NA,NA,0,123906.4928
sphyrnidae,NA,NA,NA,NA,NA,NA,NA,1,123397.2742
trigla,trigla,NA,trigla,NA,NA,NA,NA,0,121925.8651
squatina argentina,squatina,NA,squatina,NA,NA,NA,NA,0,121284.8438
lethrinus lentjan,lethrinus lentjan,lethrinus lentjan,lethrinus,NA,NA,NA,NA,0,120988.2077
eopsetta jordani,eopsetta jordani,eopsetta jordani,eopsetta,NA,NA,NA,NA,0,120407.48
priacanthus arenatus,pricsnthus arenatus,pricsnthus arenatus,priacanthus,NA,NA,NA,NA,0,120391.5277
thenus orientalis,thenus orientalis,thenus orientalis,thenus,NA,NA,NA,NA,0,120235.102
hemiramphus brasiliensis,hemiramphus,NA,hemiramphus,NA,NA,NA,NA,0,119141.5012
emmelichthys nitidus nitidus,melichthys,NA,melichthys,NA,NA,NA,NA,0,118654.5001
mytiloida,mytiloida,NA,NA,NA,mytiloida,NA,NA,0,118519.405
glycymeris glycymeris,NA,NA,NA,NA,NA,NA,NA,1,116520.8467
alosa,alosa,NA,alosa,NA,NA,NA,NA,0,116236.0623
notarius grandicassis,notarchus,NA,notarchus,NA,NA,NA,NA,0,115542.1988
mycteroperca microlepis,mycteroperca,NA,mycteroperca,NA,NA,NA,NA,0,115203.001
donax,donax,NA,donax,NA,NA,NA,NA,0,114967.11
scolopsis taeniata,scolopsis,NA,scolopsis,NA,NA,NA,NA,0,114878.2001
acanthurus monroviae,acanthurus,NA,acanthurus,NA,NA,NA,NA,0,114674.1213
liza,liza,NA,liza,NA,NA,NA,NA,0,114556.1536
conodon nobilis,monodon,NA,monodon,NA,NA,NA,NA,0,113683.8565
pleuronectes quadrituberculatus,pleuronectes,NA,pleuronectes,NA,NA,NA,NA,0,113113.3181
lepidorhynchus denticulatus,lepidorhynchus denticulatus,lepidorhynchus denticulatus,lepidorhynchus,NA,NA,NA,NA,0,112782.941
salvelinus alpinus alpinus,salvelinus alpinus,salvelinus alpinus,salvelinus,NA,NA,NA,NA,0,112509.596
nemadactylus macropterus,nemadactylus macropterus,nemadactylus macropterus,nemadactylus,NA,NA,NA,NA,0,111543.2754
tawera gayi,NA,NA,NA,NA,NA,NA,NA,1,111494.619
porichthys margaritatus,aorichthys,NA,aorichthys,NA,NA,NA,NA,0,111436.1808
miscellaneous diadromous fishes,NA,NA,NA,NA,NA,NA,NA,1,110811.5126
brevoortia pectinata,brevoortia,NA,brevoortia,NA,NA,NA,NA,0,110086.581
brotula clarkae,brotia,NA,brotia,NA,NA,NA,NA,0,110013.4596
sparidentex hasta,sparidentex hasta,sparidentex hasta,sparidentex,NA,NA,NA,NA,0,109996.7948
cynoscion leiarchus,cynoscion,NA,cynoscion,NA,NA,NA,NA,0,108561.0842
mycteroperca bonaci,mycteroperca,NA,mycteroperca,NA,NA,NA,NA,0,108166.7082
arripis georgianus,arripis georgianus,arripis georgianus,arripis,NA,NA,NA,NA,0,107034.1707
busycon,brycon,NA,brycon,NA,NA,NA,NA,0,106874.5967
littorina,littorina,NA,littorina,NA,NA,NA,NA,0,106865.0434
