mar_taxa_name,mar_match_key,afcd_match_species,afcd_match_genus,afcd_match_family,afcd_match_order,afcd_match_class,afcd_match_phylum,missing,tonnes
portunus trituberculatus,portunus trituberculatus,portunus trituberculatus,portunus,NA,NA,NA,NA,0,8682615.212
trichiuridae,trichiuridae,NA,NA,trichiuridae,NA,NA,NA,0,8589985.635
trachurus trecae,trachurus trecae,trachurus trecae,trachurus,NA,NA,NA,NA,0,8580966.953
tenualosa ilisha,tenualosa ilisha,tenualosa ilisha,tenualosa,NA,NA,NA,NA,0,8533896.686
oncorhynchus keta,oncorhynchus keta,oncorhynchus keta,oncorhynchus,NA,NA,NA,NA,0,8533661.915
oncorhynchus nerka,oncorhynchus nerka,oncorhynchus nerka,oncorhynchus,NA,NA,NA,NA,0,8422125.404
platycephalidae,platycephalidae,NA,NA,platycephalidae,NA,NA,NA,0,8415655.205
priacanthus,priacanthus,NA,priacanthus,NA,NA,NA,NA,0,8395342.325
merluccius gayi gayi,merluccius gayi,merluccius gayi,merluccius,NA,NA,NA,NA,0,8171246.868
haemulidae,haemulidae,NA,NA,haemulidae,NA,NA,NA,0,8133572.959
polynemidae,polynemidae,NA,NA,polynemidae,NA,NA,NA,0,8003238.059
muraenesox cinereus,muraenesox cinereus,muraenesox cinereus,muraenesox,NA,NA,NA,NA,0,7968831.585
thunnus obesus,thunnus obesus,thunnus obesus,thunnus,NA,NA,NA,NA,0,7767083.181
sepiida,sepia,NA,sepia,sepiidae,sepiida,NA,NA,0,7691102.327
pampus,pampus,NA,pampus,NA,NA,NA,NA,0,7584288.318
reinhardtius hippoglossoides,reinhardtius hippoglossoides,reinhardtius hippoglossoides,reinhardtius,NA,NA,NA,NA,0,7557762.945
thunnus alalunga,thunnus alalunga,thunnus alalunga,thunnus,NA,NA,NA,NA,0,7455717.107
macruronus novaezelandiae,macruronus novaezelandiae,macruronus novaezelandiae,macruronus,NA,NA,NA,NA,0,7398410.955
