"mar_taxa_name","match","tonnes","Genus","Family","Order","Class","genus_count","family_count","order_count","class_count"
"pterothrissus belloci",NA,856,NA,NA,NA,NA,NA,NA,NA,NA
"myliobatis aquila","species",844.5185051,"myliobatis","myliobatidae","myliobatiformes","elasmobranchii",NA,1,4,79
"paranthias furcifer","species",783.6814352,"paranthias","serranidae","perciformes","actinopterygii",NA,57,548,896
"chionodraco rastrospinosus","species",773.826525,"chionodraco","channichthyidae","perciformes","actinopterygii",NA,3,548,896
"pentaceros decacanthus","species",754.5518763,"pentaceros","pentacerotidae","perciformes","actinopterygii",NA,NA,548,896
"sclerocrangon",NA,739.7,NA,NA,NA,NA,NA,NA,NA,NA
"sphoeroides","genus",703.4274868,NA,NA,NA,NA,NA,NA,NA,NA
"taractichthys steindachneri","species",652.6089948,"taractichthys","bramidae","perciformes","actinopterygii",NA,2,548,896
"parapsettus panamensis","species",618.8889504,"parapsettus","ephippidae","perciformes","actinopterygii",NA,NA,548,896
"centriscops humerosus","species",538.6198983,"centriscops","centriscidae","syngnathiformes","actinopterygii",NA,NA,2,896
"paristiopterus labiosus","species",532.8462891,"paristiopterus","pentacerotidae","perciformes","actinopterygii",NA,NA,548,896
"atlantoraja cyclophora","species",484.3612526,"atlantoraja","arhynchobatidae","rajiformes","elasmobranchii",NA,7,24,79
"rhombosolea","genus",463.0632761,NA,NA,NA,NA,NA,NA,NA,NA
"odontognathus mucronatus","species",424.8014493,"odontognathus","pristigasteridae","clupeiformes","actinopterygii",NA,4,66,896
"paracirrhites hemistictus","species",346.1166341,"paracirrhites","cirrhitidae","perciformes","actinopterygii",NA,1,548,896
"aplodactylus punctatus","species",326.447619,"aplodactylus","aplodactylidae","perciformes","actinopterygii",NA,NA,548,896
"allocyttus niger","species",300.780875,"allocyttus","oreosomatidae","zeiformes","actinopterygii",NA,NA,5,896
"capromimus abbreviatus","species",282.7761806,"capromimus","zeniontidae","zeiformes","actinopterygii",NA,NA,5,896
"upogebia pugettensis",NA,271.8453826,NA,NA,NA,NA,NA,NA,NA,NA
"regalecus glesne","species",244.6754276,"regalecus","regalecidae","lampriformes","actinopterygii",NA,NA,1,896
"enchelyopus cimbrius","species",243.5616988,"enchelyopus","lotidae","gadiformes","actinopterygii",NA,6,49,896
"diodon hystrix","species",186.0288566,"diodon","diodontidae","tetraodontiformes","actinopterygii",NA,NA,10,896
"torpedo","genus",171.7263787,NA,NA,NA,NA,NA,NA,NA,NA
"tripterophycis gilchristi","species",168.6657902,"tripterophycis","moridae","gadiformes","actinopterygii",NA,4,49,896
"nototheniops larseni","species",162.5830345,"nototheniops","nototheniidae","perciformes","actinopterygii",NA,11,548,896
"heptranchias perlo","species",157.8528649,"heptranchias","hexanchidae","hexanchiformes","elasmobranchii",NA,NA,NA,79
"notopogon lilliei","species",145.7795888,"notopogon","centriscidae","syngnathiformes","actinopterygii",NA,NA,2,896
"paratrachichthys trailli","species",142.9202291,"paratrachichthys","trachichthyidae","beryciformes","actinopterygii",NA,1,13,896
"ciliata mustela","species",133.763301,"ciliata","lotidae","gadiformes","actinopterygii",NA,6,49,896
"diastobranchus capensis","species",119.5717036,"diastobranchus","synaphobranchidae","anguilliformes","actinopterygii",NA,NA,11,896
"harengula humeralis","species",118.8723845,"harengula","clupeidae","clupeiformes","actinopterygii",NA,38,66,896
"echinorhinus brucus","species",117.6972658,"echinorhinus","echinorhinidae","squaliformes","elasmobranchii",NA,NA,12,79
"cittarium pica",NA,108.5072723,NA,NA,NA,NA,NA,NA,NA,NA
"atlantoraja castelnaui","species",106,"atlantoraja","arhynchobatidae","rajiformes","elasmobranchii",NA,7,24,79
"lepidoperca pulchella","species",96.67646507,"lepidoperca","serranidae","perciformes","actinopterygii",NA,57,548,896
"sympterygia acuta","species",93.25,"sympterygia","arhynchobatidae","rajiformes","elasmobranchii",NA,7,24,79
"cirrhitidae","family",81.79146532,NA,NA,NA,NA,NA,NA,NA,NA
"paralomis formosa",NA,80.455487,NA,NA,NA,NA,NA,NA,NA,NA
"monodactylus argenteus","species",68.69852919,"monodactylus","monodactylidae","perciformes","actinopterygii",NA,NA,548,896
"paralomis",NA,68.41169187,NA,NA,NA,NA,NA,NA,NA,NA
"cymatoceps nasutus","species",55,"cymatoceps","sparidae","perciformes","actinopterygii",NA,42,548,896
"ellochelon vaigiensis","species",52.36133392,"ellochelon","mugilidae","mugiliformes","actinopterygii",NA,6,6,896
"trachyrincus scabrus","species",44.17082069,"trachyrincus","macrouridae","gadiformes","actinopterygii",NA,7,49,896
"anthias anthias","species",43.24101857,"anthias","serranidae","perciformes","actinopterygii",NA,57,548,896
"aulostomus chinensis","species",34.84197622,"aulostomus","aulostomidae","syngnathiformes","actinopterygii",NA,NA,2,896
"uraspis helvola","species",26.82312425,"uraspis","carangidae","perciformes","actinopterygii",NA,64,548,896
"somniosus pacificus","species",22.41925,"somniosus","somniosidae","squaliformes","elasmobranchii",NA,2,12,79
"aulostomidae","family",19.43998968,NA,NA,NA,NA,NA,NA,NA,NA
